abbreviation,name,circuit,citation_abbreviation,state,cardinal,courtname,homepage,start_date,end_date,count,jurisdiction,zip,fips
dcd,"District Court, District of Columbia",District of Columbia,D.D.C.,District of Columbia,,district-of-columbia,http://www.dcd.uscou…,Unknown,Unknown,30822.0,Federal District,"[20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20013, 20015, 20016, 20017, 20018, 20019, 20020, 20022, 20023, 20024, 20026, 20027, 20029, 20030, 20032, 20033, 20035, 20036, 20037, 20038, 20039, 20040, 20041, 20042, 20043, 20044, 20045, 20046, 20047, 20049, 20050, 20051, 20052, 20053, 20055, 20056, 20057, 20058, 20059, 20060, 20061, 20062, 20063, 20064, 20065, 20066, 20067, 20068, 20069, 20070, 20071, 20073, 20074, 20075, 20076, 20077, 20078, 20080, 20081, 20082, 20088, 20090, 20091, 20097, 20098, 20201, 20202, 20203, 20204, 20206, 20207, 20208, 20210, 20211, 20212, 20213, 20214, 20215, 20216, 20217, 20218, 20219, 20220, 20221, 20222, 20223, 20224, 20226, 20227, 20228, 20229, 20230, 20232, 20233, 20235, 20237, 20238, 20239, 20240, 20241, 20242, 20244, 20245, 20250, 20251, 20252, 20254, 20260, 20261, 20262, 20265, 20266, 20268, 20270, 20277, 20289, 20299, 20301, 20303, 20306, 20307, 20310, 20314, 20317, 20318, 20319, 20330, 20340, 20350, 20355, 20370, 20372, 20373, 20374, 20375, 20376, 20380, 20388, 20389, 20390, 20391, 20392, 20393, 20394, 20395, 20398, 20401, 20402, 20403, 20404, 20405, 20406, 20407, 20408, 20409, 20410, 20411, 20412, 20413, 20414, 20415, 20416, 20417, 20418, 20419, 20420, 20421, 20422, 20423, 20424, 20425, 20426, 20427, 20428, 20429, 20431, 20433, 20434, 20435, 20436, 20437, 20439, 20440, 20441, 20442, 20444, 20447, 20451, 20453, 20456, 20460, 20463, 20468, 20469, 20470, 20472, 20500, 20501, 20502, 20503, 20504, 20505, 20506, 20507, 20508, 20509, 20510, 20511, 20515, 20520, 20521, 20522, 20523, 20524, 20525, 20526, 20527, 20528, 20529, 20530, 20531, 20532, 20533, 20534, 20535, 20536, 20537, 20538, 20539, 20540, 20541, 20542, 20543, 20544, 20546, 20547, 20548, 20549, 20551, 20552, 20553, 20554, 20555, 20557, 20558, 20559, 20560, 20565, 20566, 20570, 20571, 20572, 20573, 20575, 20576, 20577, 20578, 20579, 20580, 20581, 20585, 20586, 20590, 20591, 20593, 20594, 20597, 20599, 56901, 56902, 56904, 56908, 56915, 56920, 56933, 56935, 56944, 56945, 56950, 56964, 56965, 56966, 56967, 56968, 56969, 56970, 56971, 56972, 56973, 56980, 56981, 56982, 56983, 56984, 56985, 56998, 56999, 88888]",[11001]
ald,"District Court, D. Alabama",,D. Ala.,Alabama,,alabama,,1820-04-21,1824-03-10,0.0,Federal District,,
almd,"District Court, M.D. Alabama",Eleventh,M.D. Ala.,Alabama,Middle,middle-alabama,http://www.almd.usco…,Unknown,Unknown,2266.0,Federal District,"[36003, 36006, 36008, 36051, 36066, 36067, 36068, 36749, 36016, 36017, 36027, 36048, 36072, 36029, 36053, 36061, 36089, 36015, 36030, 36033, 36037, 36456, 36854, 36855, 36862, 36863, 36872, 35045, 35046, 35085, 35171, 36091, 36750, 36790, 36323, 36330, 36331, 36346, 36351, 36453, 35072, 35089, 35136, 35183, 36026, 36028, 36038, 36420, 36421, 36442, 36455, 36467, 36474, 36476, 36483, 36009, 36041, 36042, 36046, 36049, 36062, 36071, 36311, 36322, 36350, 36360, 36361, 36362, 36371, 36374, 36020, 36022, 36024, 36025, 36045, 36054, 36078, 36080, 36092, 36093, 36313, 36314, 36316, 36318, 36340, 36344, 36349, 36375, 36477, 36310, 36317, 36345, 36353, 36373, 36301, 36302, 36303, 36304, 36305, 36312, 36319, 36320, 36321, 36343, 36352, 36370, 36376, 36801, 36802, 36803, 36804, 36830, 36831, 36832, 36849, 36852, 36865, 36870, 36874, 36877, 36879, 36032, 36040, 36047, 36752, 36785, 36031, 36039, 36075, 36083, 36087, 36088, 36866, 36013, 36036, 36043, 36052, 36057, 36064, 36065, 36069, 36101, 36102, 36103, 36104, 36105, 36106, 36107, 36108, 36109, 36110, 36111, 36112, 36113, 36114, 36115, 36116, 36117, 36118, 36119, 36120, 36121, 36123, 36124, 36125, 36130, 36131, 36132, 36133, 36134, 36135, 36140, 36141, 36142, 36177, 36191, 36005, 36010, 36034, 36035, 36079, 36081, 36082, 36263, 36274, 36276, 36278, 36280, 36851, 36856, 36858, 36859, 36860, 36867, 36868, 36869, 36871, 36875, 35010, 35011, 36023, 36256, 36850, 36853, 36861]","[1001, 1005, 1011, 1013, 1017, 1021, 1031, 1037, 1039, 1041, 1045, 1051, 1061, 1067, 1069, 1081, 1085, 1087, 1101, 1109, 1111, 1113, 1123]"
alnd,"District Court, N.D. Alabama",Eleventh,N.D. Ala.,Alabama,Northern,northern-alabama,http://www.alnd.usco…,Unknown,Unknown,1247.0,Federal District,"[35034, 35035, 35042, 35074, 35184, 35188, 36792, 36793, 35013, 35031, 35049, 35079, 35097, 35121, 35133, 35172, 36201, 36202, 36203, 36204, 36205, 36206, 36207, 36210, 36250, 36253, 36254, 36257, 36260, 36265, 36271, 36272, 36277, 36279, 35616, 35646, 35660, 35661, 35662, 35674, 35959, 35960, 35973, 35983, 36275, 35082, 36251, 36255, 36258, 36266, 36267, 36261, 36262, 36264, 36269, 36273, 35019, 35033, 35053, 35055, 35056, 35057, 35058, 35070, 35077, 35083, 35087, 35098, 35179, 35961, 35962, 35963, 35967, 35968, 35971, 35974, 35975, 35978, 35979, 35981, 35984, 35986, 35988, 35989, 35901, 35902, 35903, 35904, 35905, 35906, 35907, 35952, 35954, 35956, 35972, 35990, 35542, 35545, 35546, 35554, 35555, 35559, 35571, 35581, 35582, 35585, 35593, 35653, 35654, 35443, 35448, 35462, 35469, 35491, 36740, 35740, 35744, 35745, 35746, 35751, 35752, 35764, 35765, 35766, 35768, 35769, 35771, 35772, 35774, 35776, 35958, 35966, 35005, 35006, 35015, 35020, 35021, 35022, 35023, 35036, 35041, 35048, 35060, 35061, 35062, 35064, 35068, 35071, 35073, 35091, 35094, 35116, 35117, 35118, 35119, 35123, 35126, 35127, 35139, 35142, 35173, 35180, 35181, 35201, 35202, 35203, 35204, 35205, 35206, 35207, 35208, 35209, 35210, 35211, 35212, 35213, 35214, 35215, 35216, 35217, 35218, 35219, 35220, 35221, 35222, 35223, 35224, 35225, 35226, 35228, 35229, 35230, 35231, 35232, 35233, 35234, 35235, 35236, 35237, 35238, 35240, 35243, 35244, 35245, 35246, 35249, 35253, 35254, 35255, 35259, 35260, 35261, 35263, 35266, 35277, 35278, 35279, 35280, 35281, 35282, 35283, 35285, 35286, 35287, 35288, 35289, 35290, 35291, 35292, 35293, 35294, 35295, 35296, 35297, 35298, 35299, 35544, 35552, 35574, 35576, 35586, 35592, 35610, 35617, 35630, 35631, 35632, 35633, 35634, 35645, 35648, 35652, 35677, 35618, 35643, 35650, 35651, 35672, 35673, 35611, 35612, 35613, 35614, 35615, 35620, 35647, 35649, 35671, 35739, 35742, 35756, 35741, 35748, 35749, 35750, 35757, 35758, 35759, 35760, 35761, 35762, 35763, 35767, 35773, 35801, 35802, 35803, 35804, 35805, 35806, 35807, 35808, 35809, 35810, 35811, 35812, 35813, 35814, 35815, 35816, 35824, 35893, 35894, 35895, 35896, 35897, 35898, 35899, 35543, 35548, 35563, 35564, 35570, 35594, 35016, 35175, 35747, 35755, 35950, 35951, 35957, 35964, 35976, 35980, 35601, 35602, 35603, 35609, 35619, 35621, 35622, 35640, 35670, 35699, 35754, 35775, 35442, 35447, 35461, 35466, 35471, 35481, 35004, 35052, 35054, 35112, 35120, 35125, 35128, 35131, 35135, 35146, 35182, 35953, 35987, 35007, 35040, 35043, 35051, 35078, 35080, 35114, 35115, 35124, 35137, 35143, 35144, 35147, 35176, 35178, 35185, 35186, 35187, 35242, 35459, 35460, 35464, 35470, 35477, 36901, 36907, 36925, 35014, 35032, 35044, 35096, 35149, 35150, 35151, 35160, 35161, 36268, 35111, 35401, 35402, 35403, 35404, 35405, 35406, 35407, 35440, 35444, 35446, 35449, 35452, 35453, 35456, 35457, 35458, 35463, 35468, 35473, 35475, 35476, 35478, 35480, 35482, 35485, 35486, 35487, 35490, 35038, 35063, 35130, 35148, 35501, 35502, 35503, 35504, 35549, 35550, 35560, 35573, 35578, 35579, 35580, 35584, 35587, 35540, 35541, 35551, 35553, 35565, 35572, 35575, 35577]","[1007, 1009, 1015, 1019, 1027, 1029, 1033, 1043, 1055, 1057, 1059, 1063, 1071, 1073, 1075, 1077, 1079, 1083, 1089, 1093, 1095, 1103, 1107, 1117, 1119, 1121, 1125, 1127, 1133]"
alsd,"District Court, S.D. Alabama",Eleventh,S.D. Ala.,Alabama,Southern,southern-alabama,http://www.als.uscou…,Unknown,Unknown,724.0,Federal District,"[36507, 36511, 36526, 36527, 36530, 36532, 36533, 36535, 36536, 36542, 36547, 36549, 36550, 36551, 36555, 36559, 36561, 36562, 36564, 36567, 36574, 36576, 36577, 36578, 36579, 36580, 36904, 36908, 36910, 36912, 36913, 36915, 36916, 36919, 36921, 36922, 36436, 36446, 36451, 36482, 36501, 36515, 36524, 36540, 36545, 36727, 36762, 36784, 36401, 36429, 36432, 36454, 36473, 36475, 36701, 36702, 36703, 36758, 36759, 36761, 36767, 36773, 36775, 36426, 36427, 36441, 36502, 36503, 36504, 36543, 35441, 35474, 36744, 36765, 36776, 36732, 36736, 36738, 36742, 36745, 36748, 36754, 36763, 36764, 36782, 36783, 36505, 36509, 36512, 36521, 36522, 36523, 36525, 36528, 36541, 36544, 36560, 36568, 36571, 36572, 36575, 36582, 36587, 36590, 36601, 36602, 36603, 36604, 36605, 36606, 36607, 36608, 36609, 36610, 36611, 36612, 36613, 36615, 36616, 36617, 36618, 36619, 36621, 36622, 36625, 36628, 36630, 36633, 36640, 36641, 36644, 36652, 36660, 36663, 36670, 36671, 36675, 36685, 36688, 36689, 36690, 36691, 36693, 36695, 36425, 36439, 36444, 36445, 36449, 36457, 36458, 36460, 36461, 36462, 36470, 36471, 36480, 36481, 36756, 36786, 36513, 36518, 36529, 36538, 36539, 36548, 36553, 36556, 36558, 36569, 36581, 36583, 36584, 36585, 36435, 36720, 36721, 36722, 36723, 36726, 36728, 36741, 36751, 36753, 36766, 36768, 36769]","[1003, 1023, 1025, 1035, 1047, 1053, 1065, 1091, 1097, 1099, 1105, 1129, 1131]"
akd,"District Court, D. Alaska",Ninth,D. Alaska,Alaska,,alaska,http://www.akd.uscou…,Unknown,Unknown,444.0,Federal District,"[99501, 99502, 99503, 99504, 99505, 99506, 99507, 99508, 99509, 99510, 99511, 99513, 99514, 99515, 99516, 99517, 99518, 99519, 99520, 99521, 99522, 99523, 99524, 99529, 99530, 99540, 99545, 99546, 99547, 99548, 99549, 99550, 99551, 99552, 99553, 99554, 99555, 99556, 99557, 99558, 99559, 99561, 99563, 99564, 99565, 99566, 99567, 99568, 99569, 99571, 99572, 99573, 99574, 99575, 99576, 99577, 99578, 99579, 99580, 99581, 99583, 99585, 99586, 99587, 99588, 99589, 99590, 99591, 99599, 99602, 99603, 99604, 99605, 99606, 99607, 99608, 99609, 99610, 99611, 99612, 99613, 99614, 99615, 99619, 99620, 99621, 99622, 99623, 99624, 99625, 99626, 99627, 99628, 99629, 99630, 99631, 99632, 99633, 99634, 99635, 99636, 99637, 99638, 99639, 99640, 99641, 99643, 99644, 99645, 99647, 99648, 99649, 99650, 99651, 99652, 99653, 99654, 99655, 99656, 99657, 99658, 99659, 99660, 99661, 99662, 99663, 99664, 99665, 99666, 99667, 99668, 99669, 99670, 99671, 99672, 99674, 99675, 99676, 99677, 99678, 99679, 99680, 99681, 99682, 99683, 99684, 99685, 99686, 99687, 99688, 99689, 99690, 99691, 99692, 99693, 99694, 99695, 99697, 99701, 99702, 99703, 99704, 99705, 99706, 99707, 99708, 99709, 99710, 99711, 99712, 99714, 99716, 99720, 99721, 99722, 99723, 99724, 99725, 99726, 99727, 99729, 99730, 99731, 99732, 99733, 99734, 99736, 99737, 99738, 99739, 99740, 99741, 99742, 99743, 99744, 99745, 99746, 99747, 99748, 99749, 99750, 99751, 99752, 99753, 99754, 99755, 99756, 99757, 99758, 99759, 99760, 99761, 99762, 99763, 99764, 99765, 99766, 99767, 99768, 99769, 99770, 99771, 99772, 99773, 99774, 99775, 99776, 99777, 99778, 99779, 99780, 99781, 99782, 99783, 99784, 99785, 99786, 99788, 99789, 99790, 99791, 99801, 99802, 99803, 99811, 99812, 99820, 99821, 99824, 99825, 99826, 99827, 99829, 99830, 99832, 99833, 99835, 99836, 99840, 99841, 99850, 99901, 99903, 99918, 99919, 99921, 99922, 99923, 99925, 99926, 99927, 99928, 99929, 99950]","[2013, 2016, 2020, 2050, 2060, 2068, 2070, 2090, 2100, 2110, 2122, 2130, 2150, 2164, 2170, 2180, 2185, 2188, 2201, 2220, 2231, 2232, 2240, 2261, 2270, 2280, 2282, 2290]"
azd,"District Court, D. Arizona",Ninth,D. Ariz.,Arizona,,arizona,http://www.azd.uscou…,Unknown,Unknown,1286.0,Federal District,"[85001, 85002, 85003, 85004, 85005, 85006, 85007, 85008, 85009, 85010, 85011, 85012, 85013, 85014, 85015, 85016, 85017, 85018, 85019, 85020, 85021, 85022, 85023, 85024, 85025, 85026, 85027, 85028, 85029, 85030, 85031, 85032, 85033, 85034, 85035, 85036, 85037, 85038, 85039, 85040, 85041, 85042, 85043, 85044, 85045, 85046, 85048, 85050, 85051, 85053, 85054, 85055, 85060, 85061, 85062, 85063, 85064, 85065, 85066, 85067, 85068, 85069, 85070, 85071, 85072, 85073, 85074, 85075, 85076, 85077, 85078, 85079, 85080, 85082, 85083, 85085, 85086, 85087, 85096, 85097, 85098, 85099, 85117, 85118, 85119, 85120, 85121, 85122, 85123, 85127, 85128, 85130, 85131, 85132, 85135, 85137, 85138, 85139, 85140, 85141, 85142, 85143, 85145, 85147, 85172, 85173, 85178, 85190, 85191, 85192, 85193, 85194, 85201, 85202, 85203, 85204, 85205, 85206, 85207, 85208, 85209, 85210, 85211, 85212, 85213, 85214, 85215, 85216, 85217, 85218, 85219, 85220, 85221, 85222, 85223, 85224, 85225, 85226, 85227, 85228, 85230, 85231, 85232, 85233, 85234, 85235, 85236, 85237, 85238, 85239, 85240, 85241, 85242, 85243, 85244, 85245, 85246, 85247, 85248, 85249, 85250, 85251, 85252, 85253, 85254, 85255, 85256, 85257, 85258, 85259, 85260, 85261, 85262, 85263, 85264, 85266, 85267, 85268, 85269, 85271, 85272, 85273, 85274, 85275, 85277, 85278, 85279, 85280, 85281, 85282, 85283, 85284, 85285, 85286, 85287, 85288, 85289, 85290, 85291, 85292, 85293, 85294, 85295, 85296, 85297, 85298, 85299, 85301, 85302, 85303, 85304, 85305, 85306, 85307, 85308, 85309, 85310, 85311, 85312, 85313, 85318, 85320, 85321, 85322, 85323, 85324, 85325, 85326, 85327, 85328, 85329, 85331, 85332, 85333, 85334, 85335, 85336, 85337, 85338, 85339, 85340, 85341, 85342, 85343, 85344, 85345, 85346, 85347, 85348, 85349, 85350, 85351, 85352, 85353, 85354, 85355, 85356, 85357, 85358, 85359, 85360, 85361, 85362, 85363, 85364, 85365, 85366, 85367, 85369, 85371, 85372, 85373, 85374, 85375, 85376, 85377, 85378, 85379, 85380, 85381, 85382, 85383, 85385, 85387, 85388, 85390, 85392, 85395, 85396, 85501, 85502, 85530, 85531, 85532, 85533, 85534, 85535, 85536, 85539, 85540, 85541, 85542, 85543, 85544, 85545, 85546, 85547, 85548, 85550, 85551, 85552, 85553, 85554, 85601, 85602, 85603, 85605, 85606, 85607, 85608, 85609, 85610, 85611, 85613, 85614, 85615, 85616, 85617, 85618, 85619, 85620, 85621, 85622, 85623, 85624, 85625, 85626, 85627, 85628, 85629, 85630, 85631, 85632, 85633, 85634, 85635, 85636, 85637, 85638, 85639, 85640, 85641, 85643, 85644, 85645, 85646, 85648, 85650, 85652, 85653, 85654, 85655, 85658, 85662, 85670, 85671, 85701, 85702, 85703, 85704, 85705, 85706, 85707, 85708, 85709, 85710, 85711, 85712, 85713, 85714, 85715, 85716, 85717, 85718, 85719, 85720, 85721, 85722, 85723, 85724, 85725, 85726, 85728, 85730, 85731, 85732, 85733, 85734, 85735, 85736, 85737, 85738, 85739, 85740, 85741, 85742, 85743, 85744, 85745, 85746, 85747, 85748, 85749, 85750, 85751, 85752, 85754, 85755, 85756, 85757, 85775, 85777, 85901, 85902, 85911, 85912, 85920, 85922, 85923, 85924, 85925, 85926, 85927, 85928, 85929, 85930, 85931, 85932, 85933, 85934, 85935, 85936, 85937, 85938, 85939, 85940, 85941, 85942, 86001, 86002, 86003, 86004, 86005, 86011, 86015, 86016, 86017, 86018, 86020, 86021, 86022, 86023, 86024, 86025, 86028, 86029, 86030, 86031, 86032, 86033, 86034, 86035, 86036, 86038, 86039, 86040, 86042, 86043, 86044, 86045, 86046, 86047, 86052, 86053, 86054, 86301, 86302, 86303, 86304, 86305, 86312, 86313, 86314, 86315, 86320, 86321, 86322, 86323, 86324, 86325, 86326, 86327, 86329, 86330, 86331, 86332, 86333, 86334, 86335, 86336, 86337, 86338, 86339, 86340, 86341, 86342, 86343, 86351, 86401, 86402, 86403, 86404, 86405, 86406, 86409, 86411, 86412, 86413, 86426, 86427, 86429, 86430, 86431, 86432, 86433, 86434, 86435, 86436, 86437, 86438, 86439, 86440, 86441, 86442, 86443, 86444, 86445, 86446, 86502, 86503, 86504, 86505, 86506, 86507, 86508, 86510, 86511, 86512, 86514, 86515, 86520, 86535, 86538, 86540, 86544, 86545, 86547, 86555, 86556]","[4001, 4003, 4005, 4007, 4009, 4011, 4012, 4013, 4015, 4017, 4019, 4021, 4023, 4025, 4027]"
ared,"District Court, E.D. Arkansas",Eighth,E.D. Ark.,Arkansas,Eastern,eastern-arkansas,http://www.are.uscou…,Unknown,Unknown,1190.0,Federal District,"[72044, 72067, 72130, 72131, 72179, 72523, 72530, 72543, 72545, 72546, 72581, 72515, 72520, 72525, 72538, 72539, 72554, 72576, 72578, 72583, 72165, 72501, 72503, 72522, 72524, 72526, 72527, 72534, 72550, 72553, 72562, 72564, 72568, 72571, 72575, 72579, 72512, 72517, 72519, 72528, 72536, 72540, 72556, 72561, 72565, 72566, 72573, 72577, 72584, 72585, 72587, 72005, 72014, 72043, 72075, 72112, 72169, 72431, 72471, 72473, 72482, 72513, 72521, 72529, 72532, 72542, 72569, 72051, 72533, 72555, 72560, 72567, 72657, 72663, 72680, 72324, 72347, 72373, 72387, 72396, 72311, 72320, 72341, 72352, 72360, 72368, 72021, 72029, 72069, 72108, 72134, 72312, 72328, 72333, 72342, 72353, 72355, 72366, 72367, 72369, 72374, 72383, 72389, 72390, 72322, 72326, 72335, 72336, 72340, 72346, 72348, 72359, 72372, 72392, 72394, 72006, 72036, 72059, 72074, 72101, 72123, 72189, 72422, 72424, 72430, 72435, 72441, 72453, 72454, 72456, 72461, 72464, 72470, 72401, 72402, 72403, 72404, 72405, 72411, 72414, 72416, 72417, 72419, 72421, 72427, 72437, 72447, 72467, 72301, 72303, 72325, 72327, 72331, 72332, 72339, 72364, 72376, 72384, 72412, 72425, 72436, 72439, 72443, 72450, 72451, 72474, 72410, 72415, 72433, 72434, 72440, 72445, 72457, 72458, 72459, 72465, 72466, 72469, 72476, 72572, 72310, 72313, 72315, 72316, 72319, 72321, 72329, 72330, 72338, 72350, 72351, 72358, 72370, 72391, 72395, 72426, 72428, 72438, 72442, 72354, 72365, 72377, 72386, 72429, 72432, 72472, 72475, 72479, 72413, 72444, 72449, 72455, 72460, 72462, 72478, 72027, 72030, 72063, 72080, 72107, 72110, 72127, 72156, 72157, 72032, 72033, 72034, 72035, 72039, 72047, 72058, 72061, 72106, 72111, 72173, 72181, 72007, 72023, 72024, 72037, 72046, 72072, 72083, 72086, 72176, 72001, 72016, 72025, 72070, 72125, 72126, 72801, 72802, 72811, 72812, 72823, 72837, 72843, 72847, 72858, 72017, 72040, 72041, 72064, 72066, 72170, 72053, 72076, 72078, 72099, 72113, 72114, 72115, 72116, 72117, 72118, 72119, 72120, 72124, 72135, 72142, 72164, 72180, 72183, 72190, 72198, 72199, 72201, 72202, 72203, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72214, 72215, 72216, 72217, 72219, 72221, 72222, 72223, 72225, 72227, 72231, 72260, 72295, 71910, 72002, 72011, 72015, 72018, 72019, 72022, 72065, 72087, 72089, 72103, 72122, 72158, 72167, 72013, 72028, 72031, 72088, 72141, 72153, 72629, 72010, 72012, 72020, 72045, 72052, 72060, 72068, 72081, 72082, 72085, 72102, 72121, 72136, 72137, 72139, 72143, 72145, 72149, 72178, 72824, 72827, 72828, 72829, 72833, 72834, 72838, 72842, 72853, 72857, 72860, 72003, 72026, 72038, 72042, 72048, 72055, 72073, 72140, 72160, 72166, 71638, 71640, 71653, 71652, 71660, 71665, 71725, 71742, 71748, 71763, 71630, 71639, 71654, 71662, 71666, 71670, 71674, 72379, 71655, 71656, 71657, 71675, 71677, 72057, 72084, 72128, 72129, 72150, 71601, 71602, 71603, 71611, 71612, 71613, 71659, 72004, 72079, 72132, 72133, 72152, 72168, 72175, 72182, 71643, 71644, 71667, 71678]","[5001, 5017, 5021, 5023, 5025, 5029, 5031, 5035, 5037, 5039, 5041, 5043, 5045, 5049, 5053, 5055, 5063, 5065, 5067, 5069, 5075, 5077, 5079, 5085, 5093, 5095, 5105, 5107, 5111, 5115, 5117, 5119, 5121, 5123, 5125, 5135, 5137, 5141, 5145, 5147, 5149]"
arwd,"District Court, W.D. Arkansas",Eighth,W.D. Ark.,Arkansas,Western,western-arkansas,http://www.arwd.usco…,Unknown,Unknown,810.0,Federal District,"[71635, 71642, 71646, 71658, 71661, 71663, 71676, 71631, 71647, 71651, 71671, 71711, 71744, 71745, 71766, 71740, 71752, 71753, 71754, 71770, 71861, 71701, 71720, 71726, 71751, 71764, 71724, 71730, 71731, 71747, 71749, 71750, 71758, 71759, 71762, 71765, 71768, 72921, 72932, 72934, 72935, 72946, 72947, 72948, 72952, 72955, 72956, 72957, 72820, 72821, 72928, 72930, 72933, 72949, 72830, 72832, 72839, 72840, 72845, 72846, 72852, 72854, 72826, 72835, 72851, 72855, 72863, 72865, 72927, 72943, 72951, 71932, 71937, 71944, 71945, 71953, 71972, 71973, 72841, 72926, 72950, 72958, 72901, 72902, 72903, 72904, 72905, 72906, 72908, 72913, 72914, 72916, 72917, 72918, 72919, 72923, 72936, 72937, 72938, 72940, 72941, 72944, 72945, 72531, 72537, 72544, 72617, 72623, 72626, 72635, 72642, 72651, 72653, 72654, 72658, 72659, 72601, 72602, 72615, 72630, 72633, 72644, 72662, 72611, 72613, 72616, 72631, 72632, 72638, 72660, 72619, 72634, 72661, 72668, 72672, 72677, 72682, 72687, 72624, 72628, 72640, 72641, 72648, 72655, 72666, 72670, 72683, 72685, 72856, 72636, 72639, 72645, 72650, 72669, 72675, 72679, 72686, 71801, 71802, 71825, 71838, 71847, 71855, 71859, 71862, 71831, 71833, 71851, 71852, 71971, 71826, 71827, 71845, 71860, 71820, 71822, 71836, 71853, 71865, 71866, 71834, 71837, 71839, 71840, 71854, 71722, 71828, 71835, 71844, 71857, 71858, 71864, 71823, 71832, 71841, 71842, 71846, 72711, 72712, 72713, 72714, 72715, 72716, 72718, 72719, 72722, 72728, 72732, 72733, 72734, 72736, 72739, 72745, 72747, 72751, 72756, 72757, 72758, 72761, 72768, 72721, 72738, 72740, 72742, 72752, 72760, 72773, 72776, 72701, 72702, 72703, 72704, 72717, 72727, 72729, 72730, 72735, 72737, 72741, 72744, 72749, 72753, 72762, 72764, 72765, 72766, 72769, 72770, 72774, 72959, 71721, 71728, 71743, 71772, 71920, 71921, 71923, 71962, 71998, 71999, 71901, 71902, 71903, 71909, 71913, 71914, 71933, 71949, 71951, 71956, 71964, 71968, 71929, 71941, 71942, 72104, 72105, 71935, 71957, 71960, 71961, 71965, 71966, 71969, 71970]","[5003, 5005, 5007, 5009, 5011, 5013, 5015, 5019, 5027, 5033, 5047, 5051, 5057, 5059, 5061, 5071, 5073, 5081, 5083, 5087, 5089, 5091, 5097, 5099, 5101, 5103, 5113, 5127, 5129, 5131, 5133, 5139, 5143]"
