abbreviation,name,circuit,citation_abbreviation,state,cardinal,courtname,homepage,start_date,end_date,count,jurisdiction
mied,"District Court, E.D. Michigan",Sixth,E.D. Mich.,Michigan,Eastern,eastern-michigan,http://www.mied.usco…,Unknown,Unknown,5436.0,Federal District
miwd,"District Court, W.D. Michigan",Sixth,W.D. Mich.,Michigan,Western,western-michigan,http://www.miwd.usco…,Unknown,Unknown,1696.0,Federal District
mnd,"District Court, D. Minnesota",Eighth,D. Minnesota,Minnesota,,minnesota,http://www.mnd.uscou…,Unknown,Unknown,3249.0,Federal District
msnd,"District Court, N.D. Mississippi",Fifth,N.D. Miss.,Mississippi,Northern,northern-mississippi,http://www.msnd.usco…,Unknown,Unknown,942.0,Federal District
mssd,"District Court, S.D. Mississippi",Fifth,S.D. Miss.,Mississippi,Southern,southern-mississippi,http://www.mssd.usco…,Unknown,Unknown,1696.0,Federal District
moed,"District Court, E.D. Missouri",Eighth,E.D. Mo.,Missouri,Eastern,eastern-missouri,http://www.moed.usco…,Unknown,Unknown,2632.0,Federal District
mowd,"District Court, W.D. Missouri",Eighth,W.D. Mo.,Missouri,Western,western-missouri,http://www.mow.uscou…,Unknown,Unknown,1957.0,Federal District
mtd,"District Court, D. Montana",Ninth,D. Mont.,Montana,,montana,http://www.mtd.uscou…,Unknown,Unknown,816.0,Federal District
ned,"District Court, D. Nebraska",Eighth,D. Neb.,Nebraska,,nebraska,http://www.ned.uscou…,Unknown,Unknown,1165.0,Federal District
nvd,"District Court, D. Nevada",Ninth,D. Nev.,Nevada,,nevada,http://www.nvd.uscou…,Unknown,Unknown,1221.0,Federal District
nhd,"District Court, D. New Hampshire",First,D.N.H.,New Hampshire,,new-hampshire,http://www.nhd.uscou…,Unknown,Unknown,912.0,Federal District
njd,"District Court, D. New Jersey",Third,D.N.J.,New Jersey,,new-jersey,http://www.njd.uscou…,1789-09-24,Unknown,4865.0,Federal District
nmd,"District Court, D. New Mexico",Tenth,D.N.M.,New Mexico,,new-mexico,http://www.nmcourt.f…,Unknown,Unknown,1084.0,Federal District
nyed,"District Court, E.D. New York",Second,E.D.N.Y,New York,Eastern,eastern-new-york,http://www.nyed.usco…,Unknown,Unknown,7792.0,Federal District
nynd,"District Court, N.D. New York",Second,N.D.N.Y.,New York,Northern,northern-new-york,http://www.nynd.usco…,Unknown,Unknown,2578.0,Federal District
nysd,"District Court, S.D. New York",Second,S.D.N.Y.,New York,Southern,southern-new-york,http://www.nysd.usco…,Unknown,Unknown,26704.0,Federal District
nywd,"District Court, W.D. New York",Second,W.D.N.Y.,New York,Western,western-new-york,http://www.nywd.usco…,Unknown,Unknown,2924.0,Federal District
nced,"District Court, E.D. North Carolina",Fourth,E.D.N.C.,North Carolina,Eastern,eastern-north-carolina,http://www.nced.usco…,Unknown,Unknown,1076.0,Federal District
ncmd,"District Court, M.D. North Carolina",Fourth,M.D.N.C.,North Carolina,Middle,middle-north-carolina,http://www.ncmd.usco…,Unknown,Unknown,1083.0,Federal District
ncwd,"District Court, W.D. North Carolina",Fourth,W.D.N.C.,North Carolina,Western,western-north-carolina,http://www.ncwd.usco…,Unknown,Unknown,1061.0,Federal District
ndd,"District Court, D. North Dakota",Eighth,D.N.D.,North Dakota,,north-dakota,http://www.ndd.uscou…,Unknown,Unknown,606.0,Federal District
ohnd,"District Court, N.D. Ohio",Sixth,N.D. Ohio,Ohio,Northern,northern-ohio,http://www.ohnd.usco…,Unknown,Unknown,3293.0,Federal District
ohsd,"District Court, S.D. Ohio",Sixth,S.D. Ohio,Ohio,Southern,southern-ohio,http://www.ohsd.usco…,Unknown,Unknown,2860.0,Federal District
oked,"District Court, E.D. Oklahoma",Tenth,E.D. Okla.,Oklahoma,Eastern,eastern-oklahoma,http://www.oked.usco…,Unknown,Unknown,174.0,Federal District
oknd,"District Court, N.D. Oklahoma",Tenth,N.D. Okla.,Oklahoma,Northern,northern-oklahoma,http://www.oknd.usco…,Unknown,Unknown,485.0,Federal District
okwd,"District Court, W.D. Oklahoma",Tenth,W.D. Okla.,Oklahoma,Western,western-oklahoma,http://www.okwd.usco…,,,,Federal District
ord,"District Court, D. Oregon",Ninth,D. Or.,Oregon,,oregon,http://www.ord.uscou…,Unknown,Unknown,1859.0,Federal District
paed,"District Court, E.D. Pennsylvania",Third,E.D. Pa.,Pennsylvania,Eastern,eastern-pennsylvania,http://www.paed.usco…,Unknown,Unknown,10441.0,Federal District
pamd,"District Court, M.D. Pennsylvania",Third,M.D. Penn.,Pennsylvania,Middle,middle-pennsylvania,http://www.pamd.usco…,Unknown,Unknown,2304.0,Federal District
pawd,"District Court, W.D. Pennsylvania",Third,W.D. Pa.,Pennsylvania,Western,western-pennsylvania,http://www.pawd.usco…,Unknown,Unknown,3250.0,Federal District
rid,"District Court, D. Rhode Island",First,D.R.I.,Rhode Island,,rhode-island,http://www.rid.uscou…,Unknown,Unknown,1556.0,Federal District
